record_no,event_id,continent,country,location,event_name,event_date,event_year,event_summary,cause,impact,source_url,latitude,longitude,coordinate_meaning,coordinate_precision,fire_type,building_use,building_height_or_floors,affected_floors,building_age_status,deaths,injuries,evacuated,source_grade,verification_status,status_group,source_location_notes,source_dataset,collection_path,supplementary_url,primary_source_count,source_url_access_status,supplementary_url_access_status,retrieval_date,event_group_id,independent_event_count,heatwave_evidence,cause_completeness,population_count_2020,population_density_2020_per_km2,heatwave_days_7d,heatwave_max_t2m_c,heatwave_p90_t2m_c,heatwave_degree_days_c,heatwave_score_0_100,gee_enrichment_status
92,HRF-0092,欧洲,Russia,Moscow,Federation Tower (East Tower) fire,2012-04-02,2012,Federation Tower (East Tower)高层建筑火灾；建筑高度记录为 450 m。死亡人数：0。Occurred while the building was under construction,未检索到/待核实,死亡人数：0。Occurred while the building was under construction,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,55.75204,37.61781,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,under construction,450 m,未检索到,未检索到,0,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,,1,可访问(200),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
93,HRF-0093,欧洲,France,"Roubaix, Hauts-de-France, France",Mermoz Tower fire,2012-05-14,2012,18层社会住宅一层阳台起火后，火焰沿可燃外墙系统快速蔓延至高层。,一层阳台堆放的过量可燃物可能被烟头点燃；火经Alucobond PE外墙系统向上扩展。,1人死亡；同期报道8至10人受伤，约250人疏散并需安置。,https://douai.cour-administrative-appel.fr/decisions-de-justice/dernieres-decisions/incendie-de-la-tour-mermoz-a-roubaix-la-cour-censure-le-jugement-du-tribunal-administratif-de-lille-et-rejette-la-demande-de-lille-metropole-ha,50.6927,3.1746,事件/建筑近似点（候选来源提供）,event_or_building_approximate,high-rise residential façade fire,residential / social housing,18 storeys,17,façade refurbished before fire,1,10,250,A,confirmed_highrise,严格确认,法国行政上诉法院判决确认事件、住宅用途、外墙工程与死亡；Grenfell Inquiry资料确认18层。,List of fires in high-rise buildings | List of high-rise façade fires | Wikipedia dynamic high-rise list (candidate discovery) | 区域代理-欧洲非洲,Wikipedia专题列表 | 区域代理-欧洲非洲 | 批量来源代理,https://doi.org/10.1007%2F978-1-4939-2898-9_4 | https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,3,可访问(200),https://doi.org/10.1007%2F978-1-4939-2898-9_4 => 可访问(200) | https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,pending_gee_enrichment
94,HRF-0094,欧洲,Russia,Moscow,Oko Tower 1 fire,2013-01-25,2013,"Oko Tower 1高层建筑火灾；建筑高度记录为 354.1 m。死亡人数：0。Fire occurred on 24th floor during construction, one worker was injured.",未检索到/待核实,"死亡人数：0。Fire occurred on 24th floor during construction, one worker was injured.",https://www.reuters.com/article/uk-russia-skyscraper-fire-idUSLNE90O02B20130125,55.75204,37.61781,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,未检索到,354.1 m,未检索到,未检索到,0,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,受限(401),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
95,HRF-0095,欧洲,Russia,"Grozny City, Grozny, Chechen Republic, Russia",Grozny-City Olimp Tower fire,2013-04-03,2013,Grozny-City综合体40层住宅塔楼外立面大面积燃烧。,官方初步判断为短路，起火于4层或5层附近。,外立面几乎贯穿全高燃烧；无死亡或受伤报道。,https://www.themoscowtimes.com/2013/04/04/short-circuit-blamed-for-blaze-at-groznys-tallest-building-a22947,43.3169,45.6981,事件/建筑近似点（候选来源提供）,event_or_building_approximate,high-rise residential façade fire,"residential tower, under completion / not occupied",40 storeys,40,new / not yet occupied,0,0,0,B,confirmed_highrise,严格确认,新闻正文明确40层、住宅用途和初步原因；建筑当时尚未投入使用。,List of fires in high-rise buildings | List of high-rise façade fires | Wikipedia dynamic high-rise list (candidate discovery) | 区域代理-欧洲非洲,Wikipedia专题列表 | 区域代理-欧洲非洲 | 批量来源代理,https://doi.org/10.1007%2F978-1-4939-2898-9_4 | https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,3,可访问(200),https://doi.org/10.1007%2F978-1-4939-2898-9_4 => 可访问(200) | https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,pending_gee_enrichment
96,HRF-0096,欧洲,Russia,Krasnoyarsk,Krasnoyarsk Apartments fire,2014-09-21,2014,Krasnoyarsk Apartments高层建筑外立面火灾。死亡 0，受伤 0；表中记录的受影响楼层为 25。,未检索到/待核实,死亡 0，受伤 0；表中记录的受影响楼层为 25。,http://siberiantimes.com/other/others/news/shocking-blaze-rips-through-25-floor-apartment-block-in-krasnoyarsk/,56.03742,92.93136,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,residential,未检索到,25,未检索到,0,0,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,2,访问失败(RemoteDisconnected),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
97,HRF-0097,欧洲,France,"Puteaux, Paris","Franklin Tower, 100-101 Terr. Boieldieu, Tower A fire",2015-03-17,2015,"Franklin Tower, 100-101 Terr. Boieldieu, Tower A高层建筑火灾；建筑高度记录为 120 m。死亡人数：0。Unstated cause, ignition on 40th flr in technical room, contained by 30 firefighters via internal wet column (a pressurized vertical pipe).","Unstated cause, ignition on 40th flr in technical room, contained by 30 firefighters via internal wet column (a pressurized vertical pipe).","死亡人数：0。Unstated cause, ignition on 40th flr in technical room, contained by 30 firefighters via internal wet column (a pressurized vertical pipe).",https://m.youtube.com/watch?v=8R1dmAakaUc,48.88341,2.23894,城市代表点（GeoNames；不是建筑精确坐标）,city_centroid,高层建筑火灾,未检索到,120 m,未检索到,未检索到,0,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,pending_gee_enrichment
98,HRF-0098,欧洲,France,Paris,The Franklin Tower fire,2015-03-17,2015,The Franklin Tower高层建筑外立面火灾。死亡 0，受伤 0；表中记录的受影响楼层为 2。,未核实。,死亡 0，受伤 0；表中记录的受影响楼层为 2。,https://m.youtube.com/watch?v=8R1dmAakaUc,48.8918,2.2386,事件/建筑近似点（候选来源提供）,event_or_building_approximate,高层建筑外立面火灾,office,未检索到,2,未检索到,0,0,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery) | 区域代理-欧洲非洲,Wikipedia专题列表 | 区域代理-欧洲非洲 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,2,可访问(200),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,pending_gee_enrichment
99,HRF-0099,欧洲,France,Paris,Tour Anvers (in Les Olympiades residential complex) fire,2016-01-12,2016,"Tour Anvers (in Les Olympiades residential complex)高层建筑火灾；建筑高度记录为 104 m。死亡人数：1。16th of 31 flrs, contained to apt without spreading, 1 killed, 31-year-old woman with muscle disability.",未检索到/待核实,"死亡人数：1。16th of 31 flrs, contained to apt without spreading, 1 killed, 31-year-old woman with muscle disability.",https://www.leparisien.fr/paris-75/paris-75013/paris-incendie-mortel-dans-une-tour-des-olympiades-12-01-2016-5444163.php,48.85341,2.3488,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,residential,104 m,未检索到,未检索到,1,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
100,HRF-0100,欧洲,France,Saint-Denis,An unidentified tower on avenue Romain-Rolland fire,2016-01-13,2016,An unidentified tower on avenue Romain-Rolland高层建筑火灾；建筑高度记录为 33 m。死亡人数：1。,未检索到/待核实,死亡人数：1。,https://www.leparisien.fr/seine-saint-denis-93/saint-denis-une-femme-meurt-dans-un-incendie-13-01-2016-5448037.php,48.93564,2.35387,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,未检索到,33 m,未检索到,未检索到,1,,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,HTTP错误(404),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
101,HRF-0101,欧洲,France,Paris 20e,158 bd Davout fire,2016-06-01,2016,"158 bd Davout高层建筑火灾；建筑高度记录为 21 m。死亡人数：1。3rd through 7th of 7 flrs, 8 injured.",未检索到/待核实,"死亡人数：1。3rd through 7th of 7 flrs, 8 injured.",https://www.leparisien.fr/paris-75/paris-75020/paris-xxe-un-mort-et-deux-blesses-graves-dans-l-incendie-d-un-immeuble-01-06-2016-5846939.php,48.8646,2.3984,城市代表点（GeoNames；不是建筑精确坐标）,city_centroid,高层建筑火灾,未检索到,21 m,未检索到,未检索到,1,8,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
102,HRF-0102,欧洲,United Kingdom,London,Shepherds Court fire,2016-08-19,2016,Shepherds Court高层建筑外立面火灾。死亡 0，受伤 1；表中记录的受影响楼层为 3。,未核实。,死亡 0，受伤 1；表中记录的受影响楼层为 3。,https://www.theguardian.com/uk-news/2016/aug/19/fire-crews-tackle-blaze-at-shepherds-bush-tower-block-london,51.5053,-0.2269,事件/建筑近似点（候选来源提供）,event_or_building_approximate,高层建筑外立面火灾,residential,未检索到,3,未检索到,0,1,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery) | 区域代理-欧洲非洲,Wikipedia专题列表 | 区域代理-欧洲非洲 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,2,可访问(200),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,pending_gee_enrichment
103,HRF-0103,欧洲,United Kingdom,"North Kensington, London, England, United Kingdom",Grenfell Tower fire,2017-06-14,2017,24层社会住宅冰箱起火后突破窗户并经可燃外墙系统迅速包覆整栋塔楼。,4层住宅冰箱电气故障起火；可燃雨幕板、保温材料及系统性安全失效导致灾难性外墙传播。,72人死亡、约70余人受伤；129套住宅被毁，整栋楼疏散和救援。,https://assets.publishing.service.gov.uk/media/66d817aa701781e1b341dbd3/CCS0923434692-004_GTI_Phase_2_Volume_1_BOOKMARKED.pdf,51.5131,-0.2159,事件/建筑近似点（候选来源提供）,event_or_building_approximate,high-rise residential façade fire,residential / social housing,24 storeys / 67 m,24,completed 1974; refurbished 2015-2016,72,74,223,A,confirmed_highrise,严格确认,英国Grenfell Tower Inquiry正式报告；伤亡、建筑和传播机制均有系统调查。,List of building or structure fires | List of fires in high-rise buildings | List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery) | 区域代理-欧洲非洲,Wikipedia专题列表 | 区域代理-欧洲非洲 | 批量来源代理,https://en.wikipedia.org/wiki/Grenfell_Tower_fire | https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,3,可访问(200),https://en.wikipedia.org/wiki/Grenfell_Tower_fire => 可访问(200) | https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,pending_gee_enrichment
104,HRF-0104,欧洲,United Kingdom,"Northern Quarter, Manchester, England, United Kingdom",Lighthouse Apartments fire,2017-12-30,2017,12层住宅楼9层起火，火焰通过木质阳台向10至11层传播。,来源未给出最终起火原因；木质阳台促进竖向传播。,3人接受烟气吸入治疗，1人送院；无死亡。,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,53.4843,-2.235,事件/建筑近似点（候选来源提供）,event_or_building_approximate,high-rise residential exterior fire,residential,12 storeys; floors 9-11 affected,未检索到,未检索到,0,4,,B,confirmed_highrise,严格确认,CTIF报告明确12层、起火层、传播路径和伤情。,区域代理-欧洲非洲,区域代理-欧洲非洲,,1,可访问(200),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
105,HRF-0105,欧洲,France,Paris,The Boulangerie Hubert (later renamed the Mumbai Cafe),2019-01-12,2019,The Boulangerie Hubert (later renamed the Mumbai Cafe)高层建筑外立面火灾。死亡 4，受伤 47；表中记录的受影响楼层为 1st of 7。,未检索到/待核实,死亡 4，受伤 47；表中记录的受影响楼层为 1st of 7。,https://en.wikipedia.org/wiki/2019_Paris_explosion,48.85341,2.3488,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,未检索到,未检索到,1st of 7,未检索到,4,47,,B,compendium_needs_independent_verification,专题汇编记录,Wikipedia具名事件页+高层专题表,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,2,可访问(200),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
106,HRF-0106,欧洲,France,"16th arrondissement, Paris, Île-de-France, France",17 bis rue Erlanger apartment fire,2019-02-05,2019,巴黎一栋9层住宅楼遭纵火，火与烟影响3至9层。,邻里纠纷后人为纵火。,10人死亡、36人受伤；3至9层受影响。,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,48.847,2.263,事件/建筑近似点（候选来源提供）,event_or_building_approximate,multi-storey residential / arson fire,residential,9 storeys; floors 3-9 affected,未检索到,older Paris apartment building,10,36,,C,threshold_review_9_storeys,候选待核实,高层外立面火灾汇总表记录10死36伤和受影响楼层；9层是否纳入最终高层需统一阈值。,区域代理-欧洲非洲,区域代理-欧洲非洲,,1,可访问(200),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,pending_gee_enrichment
107,HRF-0107,欧洲,France,"16th District, Paris",The drunk lady fire,2019-02-05,2019,"17 bis rue Erlanger, The drunk lady fire高层建筑外立面火灾。死亡 10，受伤 36；表中记录的受影响楼层为 3rd through 9th。",未检索到/待核实,死亡 10，受伤 36；表中记录的受影响楼层为 3rd through 9th。,https://en.wikipedia.org/wiki/February_2019_Paris_fire,,,未提供坐标,unspecified,高层建筑外立面火灾,未检索到,未检索到,3rd through 9th,未检索到,10,36,,B,compendium_needs_independent_verification,专题汇编记录,Wikipedia具名事件页+高层专题表,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,2,可访问(200),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,invalid_coordinate_or_date
108,HRF-0108,欧洲,Poland,"Wola, Warsaw, Masovian Voivodeship, Poland",Warsaw Hub construction fire,2019-06-07,2019,在建31层Warsaw Hub上部楼层发生大火，周边封锁但结构未被认为有坍塌危险。,未核实。,无伤亡报道；上部楼层受损，周边道路和区域临时封锁。,https://ctif.org/sites/default/files/2025-08/CTIF_Report30.pdf,52.229,20.9847,事件/建筑近似点（候选来源提供）,event_or_building_approximate,high-rise construction fire,office / mixed-use under construction,31 storeys,未检索到,under construction,0,0,,B,confirmed_highrise_date_recheck,严格确认,CTIF报告明确31层、在建状态和结构影响；精确日期需再与CTBUH原始新闻核对。,区域代理-欧洲非洲,区域代理-欧洲非洲,,1,可访问(200),,2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,pending_gee_enrichment
109,HRF-0109,欧洲,Poland,Warsaw,Residential Flats fire,2019-08-14,2019,Residential Flats高层建筑外立面火灾。死亡 0，受伤 0；表中记录的受影响楼层为 10。,未检索到/待核实,死亡 0，受伤 0；表中记录的受影响楼层为 10。,https://tvn24.pl/tvnwarszawa/najnowsze/spalona-elewacja-zniszczone-okna-od-parteru-az-po-sam-dach-652130,52.22977,21.01178,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑外立面火灾,residential,未检索到,10,未检索到,0,0,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,2,受限(403),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
110,HRF-0110,欧洲,France,Paris,Seine Tower fire,2019-11-14,2019,Seine Tower高层建筑外立面火灾。死亡 0，受伤 2；表中记录的受影响楼层为 1。,未核实。,死亡 0，受伤 2；表中记录的受影响楼层为 1。,https://doi.org/10.1007%2F978-1-4939-2898-9_4,48.8566,2.3522,事件/建筑近似点（候选来源提供）,event_or_building_approximate,高层建筑外立面火灾,未检索到,high-rise; 1 floor affected; total floors to verify,1,未检索到,0,2,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery) | 区域代理-欧洲非洲,Wikipedia专题列表 | 区域代理-欧洲非洲 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,2,可访问(200),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,pending_gee_enrichment
111,HRF-0111,欧洲,United Kingdom,Bolton,The Cube Student Housing fire,2019-11-16,2019,The Cube Student Housing高层建筑外立面火灾。死亡 0，受伤 2；表中记录的受影响楼层为 1。,未核实；外墙系统被认为与快速传播有关。,死亡 0，受伤 2；表中记录的受影响楼层为 1。,https://www.ft.com/content/bb1e05b4-0896-11ea-b2d6-9bf4d1957a67,53.578,-2.429,事件/建筑近似点（候选来源提供）,event_or_building_approximate,高层建筑外立面火灾,student housing,about 6 storeys,1,recently built student accommodation,0,2,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery) | 区域代理-欧洲非洲,Wikipedia专题列表 | 区域代理-欧洲非洲 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,2,受限(403),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,pending_gee_enrichment
112,HRF-0112,欧洲,Slovakia,Prešov,Unnamed Highrise fire,2019-12-06,2019,"Unnamed Highrise高层建筑火灾；建筑高度记录为 47.9 m。死亡人数：8。Natural gas explosion, 40 injuries","Natural gas explosion, 40 injuries","死亡人数：8。Natural gas explosion, 40 injuries",https://www.teraz.sk/regiony/vybuch-plynu-hasici-hasia-poziar-byt/434333-clanok.html,48.99923,21.2355,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,未检索到,47.9 m,未检索到,未检索到,8,40,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,pending_gee_enrichment
113,HRF-0113,欧洲,Czech Republic,Czech Republic,2020 Bohumín high-rise arson fire,2020-08-08,2020,Tower block at 1158 Nerudova street高层建筑火灾；建筑高度记录为 42.9 m。死亡人数：11。Bohumín arson attack,Bohumín arson attack,死亡人数：11。Bohumín arson attack,https://en.wikipedia.org/wiki/Bohumín_arson_attack,,,未提供坐标,unspecified,高层建筑火灾,residential,42.9 m,未检索到,未检索到,11,,,B,compendium_needs_independent_verification,专题汇编记录,Wikipedia具名事件页+高层建筑专题表,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,invalid_coordinate_or_date
114,HRF-0114,欧洲,Spain,Madrid,Madrid Tower Block fire,2020-08-29,2020,Madrid Tower Block高层建筑外立面火灾。死亡 0，受伤 0；表中记录的受影响楼层为 3。,未核实。,死亡 0，受伤 0；表中记录的受影响楼层为 3。,https://www.euroweeklynews.com/2020/08/30/high-rise-on-fire-in-madrid/,40.4168,-3.7038,事件/建筑近似点（候选来源提供）,event_or_building_approximate,高层建筑外立面火灾,residential,未检索到,3,未检索到,0,0,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层专题表；需补充独立来源核验,List of high-rise façade fires | Wikipedia high-rise façade list; derived from Bonner et al./news (candidate discovery) | 区域代理-欧洲非洲,Wikipedia专题列表 | 区域代理-欧洲非洲 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires,2,可访问(200),https://en.wikipedia.org/wiki/List_of_high-rise_fa%C3%A7ade_fires => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,pending_gee_enrichment
115,HRF-0115,欧洲,France,Paris,"Helsinki Tower, 50 rue du Disque fire",2021-08-13,2021,"Helsinki Tower, 50 rue du Disque高层建筑火灾；建筑高度记录为 ~100 m。死亡人数：1。18th of 33 flrs, apt possibly linked to Diogenes syndrome (hoarding), spread prevented via compartmentation, contained after 2 hrs, ~70 firefighters, 2 hoses, 1 killed (carbonized body), 4 injured (2 were firefighters with heatstroke).",未检索到/待核实,"死亡人数：1。18th of 33 flrs, apt possibly linked to Diogenes syndrome (hoarding), spread prevented via compartmentation, contained after 2 hrs, ~70 firefighters, 2 hoses, 1 killed (carbonized body), 4 injured (2 were firefighters with heatstroke).",https://www.bfmtv.com/paris/paris-un-mort-et-quatre-blesses-dans-un-incendie-quartier-olympiades_AN-202108130293.html,48.85341,2.3488,城市代表点（来源明确说明不是火场坐标）,city_centroid,高层建筑火灾,未检索到,~100 m,未检索到,未检索到,1,4,,C,compendium_needs_independent_verification,专题汇编记录,Wikipedia高层建筑专题表；需补充独立来源核验,List of fires in high-rise buildings | Wikipedia dynamic high-rise list (candidate discovery),Wikipedia专题列表 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings,2,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,缺失/待核实,,,,,,,,pending_gee_enrichment
116,HRF-0116,欧洲,Italy,"Via Antonini, Milan, Lombardy, Italy",Torre dei Moro fire,2021-08-29,2021,米兰18层住宅塔楼外墙构件在短时间内几乎全高燃烧。,最终起火原因需查意大利调查结论；外墙覆层促进快速蔓延。,无死亡；住户全部撤离，建筑严重损毁，约70户受影响。,https://www.rainews.it/archivio-rainews/articoli/Grattacielo-in-fiamme-a-Milano-ancora-in-corso-le-operazioni-di-spegnimento-Nessuna-vittima-287fb407-626c-470a-8db3-efd789f646a8.html,45.4376,9.1805,事件/建筑近似点（候选来源提供）,event_or_building_approximate,high-rise residential façade fire,residential,18 storeys / over 60 m,20,completed around 2011,0,0,70,B,confirmed_highrise,严格确认,Rai报道引用意大利消防部门；另有建筑资料确认18层、约60米。,List of fires in high-rise buildings | List of high-rise façade fires | Wikipedia dynamic high-rise list (candidate discovery) | 区域代理-欧洲非洲,Wikipedia专题列表 | 区域代理-欧洲非洲 | 批量来源代理,https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings | https://en.wikipedia.org/wiki/Torre_dei_Moro_fire?action=edit&redlink=1 | https://www.euronews.com/2021/08/30/no-victims-in-milan-towerblock-fire-reminiscent-of-grenfell-disaster,4,可访问(200),https://en.wikipedia.org/wiki/List_of_fires_in_high-rise_buildings => 可访问(200) | https://en.wikipedia.org/wiki/Torre_dei_Moro_fire?action=edit&redlink=1 => HTTP错误(404) | https://www.euronews.com/2021/08/30/no-victims-in-milan-towerblock-fire-reminiscent-of-grenfell-disaster => 可访问(200),2026-08-26,,1,未评估（本事件表不建立热浪因果关系）,已有来源描述,,,,,,,,pending_gee_enrichment
